statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
⬛,4,4: pas de résultats postés ni publiés,NCT02599584,,,2016,Improvement of Team Performance With a Pre-critical Staff Within the Team Prior to Admission of Critical Simulated Patient in High Fidelity Simulation Session for Anesthesiology Resident During Their Education Curriculum,Simstaf&perf,BEHAVIORAL
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT02470195,,,2016,Anesthesiology Education Implementation by Procedural Simulation Workshop for Difficult Airway Management: a Controlled Interregional French Study,PROSIDIAIR,BEHAVIORAL
⬛,4,4: pas de résultats postés ni publiés,NCT02470130,,,2016,Effect of a Debriefing Conversational Relaxation on Memorization of Critical Key Points in Resident High Fidelity Simulation Education Program,RELAXSIMHF,BEHAVIORAL
⬛,4,4: pas de résultats postés ni publiés,NCT02926599,,,2017,High Fidelity Simulation Performance After a Potential Optimization Training for Anesthesiologist Resident: a Randomized Controlled Trial.,TOP,BEHAVIORAL
⬛,4,4: pas de résultats postés ni publiés,NCT03253770,,,2017,Use of a Hand-held Digital Cognitive Aid in Simulated Cardiac Arrest.,SIMMAX2,DEVICE
🟩,1,1: résultats postés ou publiés dans les 12 mois,NCT04352959,,,2020,"COVID-19: Nasal and Salivary Detection of the SARS-CoV-2 Virus After Antiviral Mouthrinses: Double-blind, Randomized, Placebo-controlled Clinical Study",BBCovid,DEVICE
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT04141124,,,2020,Effects of Relaxing Breathing Combined With Biofeedback on the Performance and Stress of Residents During a High-fidelity Simulation Session.,RETROSIMU,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT05136586,,,2022,Effects of Two Stress Management Procedures on Performances During Objective Structured Clinical Examination (OSCE) for Medical Students : Relaxing Breathing Combined With Biofeedback or Meditative Stimulation : ECOSTRESS Study,ECOSTRESS,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT05390879,,,2022,Influence of Meditation on Stress and Rumination Following Objective Structured Clinical Examination (OSCE),,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT05628519,,,2022,Captain Sonar Impact on Trauma Patient Management,CAST2,BEHAVIORAL
⬛,4,4: pas de résultats postés ni publiés,NCT05393219,,,2023,"Effects of Preventive Physiological and Psychological Interventions on Performances During Objective Structured Clinical Examination (OSCE) for Medical Students: Cardiac Biofeedback, Mindfulness, or Inner Resources Mobilization",,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT05619081,,,2023,Recovery Napping Protocol for Anesthesiologist Performance,R-NAP,BEHAVIORAL
⬛,4,4: pas de résultats postés ni publiés,NCT05380076,,,2023,"Effects of Mindfulness, Mobilization of Inner Resources, or Cardiac Biofeedback on Psychophysiological Anticipatory Stress Before OSCE of Medical Students",,OTHER
