statut,statut_label,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,results_1y,results_3y,results,intervention_type
🟥,rouge,résultat et / ou publication posté,NCT00259350,,,2006,"Prevention of Central Venous Catheter Infections : Comparison of the Efficacy of Skin Disinfection With 5% Povidone Iodine in Alcoholic Solution Versus 0.25% Chlorhexidine, 0.025 Benzalkonium and 4% Benzylic Alcohol",,False,False,True,DRUG
⬛,noir,pas de résultat ni de publication,NCT00219752,,,2007,"Phase II Trial to Study the Tolerability and the Effectiveness of Imatinib in Patients With Chronic Myelogenous Leukemia in Chronic Phase With Age More Than 70, Diagnosis of CML is Being Performed Within 1 Year",,False,False,False,DRUG
⬛,noir,pas de résultat ni de publication,NCT00461825,,,2007,Efficacy and Safety of Maintenance Neoral Compared to Bitherapy Neoral-Imurel or Neoral-CellCept in Renal Transplantation,,False,False,False,DRUG
⬛,noir,pas de résultat ni de publication,NCT00219726,,,2007,Phase II Trial to Study the Tolerability and the Effectiveness of Imatinib in Patients With Chronic Myelogenous Leukemia in Chronic Phase in Relapse After Allogeneic Stem Cell Transplantation,,False,False,False,DRUG
🟧,orange,résultat et / ou publication posté dans les 36 mois,NCT01320384,,,2013,Clinical Effect of the Association of Noninvasive Ventilation and High Flow Nasal Oxygen Therapy in Resuscitation of Patients With Acute Lung Injury. A Randomised Study (FLORALI Study),FLORALI,False,True,True,DEVICE
⬛,noir,pas de résultat ni de publication,NCT02205632,,,2014,,,False,False,False,DEVICE
🟩,vert,résultat et / ou publication posté dans les 12 mois,NCT00219739,,,2014,A Phase III Prospective Randomized Comparison of Imatinib at a Dose of 400mg in Combination With Peg-Interferon-alpha2a (Peg-IFNa2a) or Cytarabine (Ara-C)Versus Imatinib at a Dose of 600mg Versus Imatinib a Dose of 400mg for Previously Untreated Chronic Myelogenous Leukemia (CML) in Chronic Phase,SPIRIT,True,True,True,DRUG
⬛,noir,pas de résultat ni de publication,NCT01823965,,,2014,,,False,False,False,DRUG
🟩,vert,résultat et / ou publication posté dans les 12 mois,NCT01628237,,,2015,,ESTIMET,True,True,True,DEVICE
⬛,noir,pas de résultat ni de publication,NCT03186144,,,2015,,CHARGE,False,False,False,GENETIC
🟧,orange,résultat et / ou publication posté dans les 36 mois,NCT02703857,,,2016,,PROPHYLOXITINE,False,True,True,DRUG
⬛,noir,pas de résultat ni de publication,NCT02797730,,,2016,,EDUCARTPED,False,False,False,BEHAVIORAL
⬛,noir,pas de résultat ni de publication,NCT02930382,,,2016,,BARODEF,False,False,False,OTHER
⬛,noir,pas de résultat ni de publication,NCT02193737,,,2016,"Effects of Drinking at PACU Discharge After General Anaesthesia With Airway Control on Aspiration, Vomiting and Patients Comfort.",I-DRINC,False,False,False,PROCEDURE
⬛,noir,pas de résultat ni de publication,,2010-019837-85,,2016,Étude de la toxicité cutanée du cétuximab (anti-Epidermal Growth Factor Receptor): recherche d’un lien entre la réponse inflammatoire cutanée et la réponse radiologique.,,False,False,False,
⬛,noir,pas de résultat ni de publication,NCT01292356,,,2016,,,False,False,False,DRUG
🟧,orange,résultat et / ou publication posté dans les 36 mois,NCT01958996,,,2016,,,False,True,True,DRUG
⬛,noir,pas de résultat ni de publication,,2012-005263-27,,2017,"EVALUATION OF EARLY PRE-OPERATIVE INTRAVESICAL INSTILLATION OF MYTOMYCIN-C AFTER TRANSURETHRAL RESECTION OF BLADDER TUMOR COMPARED TO  EARLY POST-OPERATIVE INSTILLATION. A RANDOMIZED MULTICENTER STUDY. 
 
 
 Evaluation de la mitomycine C en installation pré-opératoire immédiate (IPOI) des résections endoscopiques des tumeurs de vessie comparée à l’installation post-opératoire précoce (IPOP).Etude multicentrique randomisée.",,False,False,False,
🟥,rouge,résultat et / ou publication posté,NCT02725190,,,2017,Effects of Sleep Deprivation on Diaphragm Command During an Inspiratory Endurance Trial in Healthy Volunteers.,NoSleepDiaph,False,False,True,BEHAVIORAL
🟧,orange,résultat et / ou publication posté dans les 36 mois,NCT02825121,,,2017,,CurHaTOF,False,True,True,DEVICE
🟩,vert,résultat et / ou publication posté dans les 12 mois,NCT02920281,,,2017,,WEAN SLEEP 1,True,True,True,OTHER
🟧,orange,résultat et / ou publication posté dans les 36 mois,NCT02869828,,,2017,,TEMP CORE BLOC,False,True,True,DEVICE
⬛,noir,pas de résultat ni de publication,NCT03367065,,,2017,,PERFE-CT,False,False,False,RADIATION
⬛,noir,pas de résultat ni de publication,NCT03223506,,,2017,Validation of a Physiological Based Pharmacokinetic Model by the Study of Paracetamol Distribution in the Brain Compartments in Brain Injured Patients,,False,False,False,DRUG
⬛,noir,pas de résultat ni de publication,NCT03447457,,,2017,Early Initiation of High-flow Nasal Cannula Oxygen Therapy in Patients With Acute Respiratory Failure in the Emergency Department: A Before-after Study,,False,False,False,DEVICE
⬛,noir,pas de résultat ni de publication,NCT02399709,,,2017,"Pilot Randomized Double Blind, Placebo Controlled Trial of the Efficacy of Simvastatin for Smoking Cessation",ADDICSTATINE,False,False,False,DRUG
⬛,noir,pas de résultat ni de publication,NCT02717468,,,2017,Comparative Noninvasive Continuous Cardiac Output by the Clearsight With Invasive Monitoring by Pulsioflex in Abdominal Surgery,CLEARSIGHT,False,False,False,DEVICE
⬛,noir,pas de résultat ni de publication,NCT02821897,,,2017,Value of Target-controlled Intravenous Anaesthesia (TCIVA) to Optimize Coverage of the Low Back Pain Territory in Patients With Chronic Refractory Postoperative Multifocal Low Back and Legpain,AIVOC,False,False,False,PROCEDURE
⬛,noir,pas de résultat ni de publication,NCT03439644,,,2017,Physiological Upper Eyelid Laxity,LAX,False,False,False,OTHER
🟩,vert,résultat et / ou publication posté dans les 12 mois,NCT02668458,,,2017,"Comparison of Pre-oxygenation by Non-invasive Ventilation With High-flow Nasal Oxygen Therapy for Intubation of Intensive Care Patients in Cases of Acute Respiratory Failure: A Prospective, Randomized, Controlled Study (FLORALI 2)",FLORALI2,True,True,True,PROCEDURE
⬛,noir,pas de résultat ni de publication,NCT02515448,,,2017,,GENTAERO,False,False,False,DRUG
⬛,noir,pas de résultat ni de publication,NCT03198637,,,2018,,,False,False,False,DRUG
⬛,noir,pas de résultat ni de publication,NCT02941952,,,2018,,CLEARPICCO,False,False,False,DEVICE
⬛,noir,pas de résultat ni de publication,NCT03211676,,,2018,"Comparison of Hemodialysis With Medium Cut-off Dialyzer (Theranova) and High Flux Dialyzer on Removal of Small and Middle Size Molecules, Inflammatory Parameters and Oxidative Stress. An Open Cross Over Randomized Study",THERANOVA,False,False,False,DEVICE
⬛,noir,pas de résultat ni de publication,NCT02931227,,,2018,,TempCore,False,False,False,PROCEDURE
⬛,noir,pas de résultat ni de publication,NCT03644836,,,2018,Interest of Branched Chain Amino Acids Associated With a Respiratory Rehabilitation Program in Patients Broncho Chronic Obstructive Pulmonary Disease. Randomized Study Against Placebo,REHABAAR,False,False,False,DRUG
⬛,noir,pas de résultat ni de publication,NCT03747874,,,2018,Prevalence of Obstructive Sleep Apnea Syndrome in Patients With a History of Sudden Sensorineural Hearing Loss,SAS-SB,False,False,False,DIAGNOSTIC_TEST
🟩,vert,résultat et / ou publication posté dans les 12 mois,NCT03121482,,,2018,High-flow Nasal Cannula Oxygen Therapy With or Without Non-invasive Ventilation (NIV) During the Weaning Period: a Multicenter Randomized Controlled Trial,HIGH-WEAN,True,True,True,DEVICE
⬛,noir,pas de résultat ni de publication,NCT03634878,,,2018,Evaluation of the Position of Promontofixation Prostheses in Perineal Ultrasound,PROMONOTECHO,False,False,False,OTHER
🟩,vert,résultat et / ou publication posté dans les 12 mois,NCT02534974,,,2018,,AGATE,True,True,True,DEVICE
⬛,noir,pas de résultat ni de publication,NCT02110888,,,2018,,,False,False,False,DEVICE
🟥,rouge,résultat et / ou publication posté,NCT03025841,,,2018,Population Pharmacokinetic (PK) Study of Zinforo (Ceftaroline) in Critical Care Patients With Early-onset Pneumonia and Normal or Augmented Renal Clearance,CEFTAREA,False,False,True,DRUG
⬛,noir,pas de résultat ni de publication,NCT02320474,,,2018,Efficacy of Aflibercept (Eylea®) on Choroidal Neovascularization (Type 3),ATTRACT,False,False,False,DRUG
⬛,noir,pas de résultat ni de publication,NCT03456557,,,2018,The Use of Perfusion CT Derived Parameters as Early Acute Pancreatitis Severity Biomarker Compared to Clinico Biological Score,K-PA,False,False,False,RADIATION
🟩,vert,résultat et / ou publication posté dans les 12 mois,NCT03757143,,,2019,"Skin Antisepsis With Chlorhexidine-Alcohol Versus Povidone Iodine-Alcohol, Combined or Not With Use of a Bundle of New Devices, for Prevention of Intravascular-catheter Colonization and Catheter Failure: An Open Label, Single Center, Randomized Controlled, Two-by-two Factorial Trial",CLEAN3,True,True,True,DEVICE
⬛,noir,pas de résultat ni de publication,NCT03227965,,,2019,Immunosuppression's Long Term Impact on Anti-tumoral Oversight in Kidney Transplantation,,False,False,False,BIOLOGICAL
⬛,noir,pas de résultat ni de publication,NCT03537105,,,2019,Analysis of Cytokine Expression Pattern in Systemic Sclerosis: Study of the Role of Interleukine-34,SCLEROKINE,False,False,False,PROCEDURE
⬛,noir,pas de résultat ni de publication,NCT03847740,,,2019,Safety and Feasibility of a New Neuromuscular Monitoring Device,MONITOF,False,False,False,DEVICE
⬛,noir,pas de résultat ni de publication,NCT03250871,,,2019,Hypnosis Contribution to Interventional Electrophysiology Performed Under Local Anesthesia and Morphine Titration Study PAINLESS : Does Hypnosis Reduce Pain in Electrophysiology Procedures ?,PAINLESS,False,False,False,OTHER
🟧,orange,résultat et / ou publication posté dans les 36 mois,NCT02978300,,,2019,High-Flow Nasal Cannula Oxygen Therapy (HFNC) Alone or Associated With Noninvasive Ventilation (NIV) for Immunocompromised Patients Admitted to Intensive Care Unit for Acute Respiratory Failure : FLORALI-Immunodéprimés,FLORALI-IM,False,True,True,DEVICE
⬛,noir,pas de résultat ni de publication,NCT03981042,,,2019,Comparison Between the Neuromuscular Blockade Onset Monitoring and the Expectation of a Fixed Delay After Curarization on the Quality of Laryngoscopy During Intubation in Elective Surgery (MONITURARE),MONITURARE,False,False,False,DEVICE
⬛,noir,pas de résultat ni de publication,NCT02964130,,,2019,"A Multicenter Prospective Study on Failed Back Surgery Syndrome Pathway Optimization: A Focus on Patient Identification, Chronicization Factors and Outcome Predictors",PREDIBACK,False,False,False,OTHER
⬛,noir,pas de résultat ni de publication,NCT02482883,,,2019,"Evaluation of the Efficacy of Transcutaneous Trigeminal Nerve Stimulation for Prevention of Cerebral Vasospasm and Its Consequences After Subarachnoid Haemorrhage Due to Ruptured Aneurysm: a Multicentre, Randomized, Double-blind Study",TRIVASOSTIM,False,False,False,DEVICE
🟧,orange,résultat et / ou publication posté dans les 36 mois,NCT02273661,,,2019,Evaluation of a Therapeutic Strategy Including Nebulised Liposomal Amphotericin B (Ambisome®) in Maintenance Treatment of Allergic Bronchopulmonary Aspergillosis (Cystic Fibrosis Excluded),NEBULAMB,False,True,True,DRUG
