statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
⬛,4,4: pas de résultats postés ni publiés,NCT00786305,,,2008,Assessment of Efficiency of Nebulized Ceftazidime and Amikacin in Treatment of Ventilator Associated Pneumonia Caused by Pseudomonas Aeruginosa,,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00786305,,,2008,Assessment of Efficiency of Nebulized Ceftazidime and Amikacin in Treatment of Ventilator Associated Pneumonia Caused by Pseudomonas Aeruginosa,,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT02055261,,,2012,Effects of Low Frequency Deep Brain Stimulation of the Pedunculopontine Nucleus on Gait and Balance Disorders of Parkinson's Disease,,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT01457248,,,2014,Effect of Endotracheal Tube With Taper-shaped Cuff on Incidence of Postoperative Pneumonia After Aortic Surgery,TETRIS,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT01457248,,,2014,Effect of Endotracheal Tube With Taper-shaped Cuff on Incidence of Postoperative Pneumonia After Aortic Surgery,TETRIS,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT02554370,,,2015,Psychoeducational Programme for Patients With Parkinson's Disease Undergoing Subthalamic Deep Brain Stimulation,PSYCHE,BEHAVIORAL
⬛,4,4: pas de résultats postés ni publiés,NCT02554370,,,2015,Psychoeducational Programme for Patients With Parkinson's Disease Undergoing Subthalamic Deep Brain Stimulation,PSYCHE,BEHAVIORAL
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT03671161,,,2017,Combination of Flash Glucose Measure System and Continuous Subcutaneous Insulin Infusion Therapy in Patients With Type 1 Diabetes and Poor Glycemic Control Related to Very Few Self-blood Glucose Measurements,FREESTYLE,DEVICE
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT03671161,,,2017,Combination of Flash Glucose Measure System and Continuous Subcutaneous Insulin Infusion Therapy in Patients With Type 1 Diabetes and Poor Glycemic Control Related to Very Few Self-blood Glucose Measurements,FREESTYLE,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT04035655,,,2018,Sub-study of the NEURODOC Project (Electrophysiological Evaluation of Consciousness in Patients With Disorders of Consciousness During Standard Care Procedures): Neurophysiological Evaluation of a Routine Care Open Label tDCS Session,Neurodoc,BEHAVIORAL
⬛,4,4: pas de résultats postés ni publiés,NCT04035655,,,2018,Sub-study of the NEURODOC Project (Electrophysiological Evaluation of Consciousness in Patients With Disorders of Consciousness During Standard Care Procedures): Neurophysiological Evaluation of a Routine Care Open Label tDCS Session,Neurodoc,BEHAVIORAL
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00139308,,,,Pilot Study of Internal Globus Pallidus or Median Centre of the Thalamus High Frequency Stimulation for the Treatment of Patients With Severe Tourette's Syndrome,,DEVICE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00139308,,,,Pilot Study of Internal Globus Pallidus or Median Centre of the Thalamus High Frequency Stimulation for the Treatment of Patients With Severe Tourette's Syndrome,,DEVICE
