statut,statut_label,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,results_1y,results_3y,results,intervention_type
📕,rouge,résultat et / ou publication posté,NCT01512277,,,1999,Phase 1 Study Evaluating Safety and Immunological Criteria of Efficacy of the Recombinant Vaccine Candidate Bilhvax Against Schistosomiasis,Bilhvax1a,False,False,True,BIOLOGICAL
📕,rouge,résultat et / ou publication posté,NCT00367185,,,2005,"Comparison of Melphalan-Prednisone(MP),MP-THALIDOMIDE,and Autologous Stem Cell Transplantation in the Treatment of Newly Diagnosed Elderly Patients With Multiple Myeloma.",,False,False,True,DRUG
📘,bleu,pas de résultat ni de publication,NCT00682292,,,2006,Multicenter Randomized Study to Compare Induction Therapy With Polyclonal Antithymocytes Globulins (ATG) Versus Monoclonal Anti-IL2R Antibody (Daclizumab) in a Triple Drug Regimen in Renal Transplant Recipients With High Immunological Risk.,TAXI,False,False,False,DRUG
📕,rouge,résultat et / ou publication posté,NCT00122057,,,2007,,,False,False,True,DRUG
📘,bleu,pas de résultat ni de publication,NCT02385565,,,2009,Effect Of The System In The Enriched Fat Metabolism Of The Child Reached Mitochondrial Cytopathy,MITOX,False,False,False,OTHER
📗,vert,résultat et / ou publication posté dans les 12 mois,NCT00446264,,,2009,Sequential Islet Transplantation With Steroid Free Immunosuppression for Type 1 Diabetes,,True,True,True,PROCEDURE
📘,bleu,pas de résultat ni de publication,NCT01082666,,,2010,Phase 4 Study of Continuous Control of Tracheal Cuff Pressure and Microaspiration in Critically Ill Patients,,False,False,False,DEVICE
📕,rouge,résultat et / ou publication posté,NCT01108029,,,2010,"Study of Memantine to Treat Gait Disorders And Attention Deficit In Parkinson's Disease: A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Monocentric Trial",FOGG-I,False,False,True,DRUG
📕,rouge,résultat et / ou publication posté,NCT01487590,,,2010,A Simple Blind Controlled Randomized Trial: Cephalic Version by Acupuncture-moxibustion vs Placebo for Breech Presentation,ACUVERSE,False,False,True,OTHER
📙,orange,résultat et / ou publication posté dans les 36 mois,NCT01214226,,,2011,Evaluation of the Survival Benefit of the Adjunction of Pentoxifylline to Corticosteroids in Patients Suffering From Severe Alcoholic Hepatitis,CorpentoxHAA,False,True,True,DRUG
