statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
⬛,4,4: pas de résultats postés ni publiés,NCT00545194,,,2004,Randomized Study on Removable PGE2 Vaginal Insert Versus PGE2 Intravaginal Gel for Cervical Priming and Labour Induction in Term Pregnancy,,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00988767,,,2004,Specific Vaccine Therapy in Chronic Hepatitis B Using a Naked DNA: Phase I Study Using a GMO,RBM99026,BIOLOGICAL
⬛,4,4: pas de résultats postés ni publiés,NCT00236340,,,2005,Syringe or Continuous Amnioreduction for Symptomatic Polyhydramnios. A Prospective Randomized Study.,,DEVICE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00272428,,,2005,"The SU.VI.MAX Study. A Randomized, Placebo-controlled Prevention Trial of the Health Effects of Antioxidant Vitamins and Minerals.",,BEHAVIORAL
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00339157,,,2008,ANAkinra in Severe Juvenile Idiopathic Arthritis of Systemic Onset (ANAJIS),,BIOLOGICAL
⬛,4,4: pas de résultats postés ni publiés,NCT01086904,,,2010,Etude de Phase II évaluant l'immunogénicité et la tolérance d'un Vaccin inactivé Non adjuvanté Contre la Grippe A (H1N1) après Transplantation rénale,Transfluvac,BIOLOGICAL
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01024400,,,2010,Etude de Phase II évaluant l'immunogénicité et la tolérance d'un Vaccin inactivé Non adjuvanté Contre la Grippe A(H1N1)v Chez la Femme Enceinte,PREFLUVAC,BIOLOGICAL
⬛,4,4: pas de résultats postés ni publiés,NCT01188525,,,2011,Pharmacokinetic of Ten Parent Drugs and Their Metabolits in Order to Characterise Individual Metabolic Profile,CIME1,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT01075061,,,2011,Study of a Large Family With Congenital Mirror Movements : From Underlying Pathophysiology to Culprit Gene Identification : MOMIC,MOMIC,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT01489592,,,2012,Effect of Curcumin on Iron Metabolism in Healthy Volunteer,CURHEP,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT01548586,,,2012,Modulation de l'excitabilité Des Aires Corticales Motrices Primaires Correspondant Aux hémi Diaphragmes à l'Aide de la tDCS (Transcranial Direct Current Stimulation),,DEVICE
