statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00005062,,,2005,A Phase III Trial Comparing High Versus Standard Dose of Prophylactic Cranial Irradiation (PCI) in Limited Small Cell Lung Cancer Complete Responders,,RADIATION
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00126256,,,2006,"Randomized Trial of Treatment Strategy for Chemotherapy in Colorectal Cancer, FFCD 2000-05",,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00147160,,,2007,Phase II Study of the Combination of Cisplatin + Temozolomide in Malignant Glial Tumours in Children and Adolescents at Diagnosis or in Relapse,,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00162656,,,2011,Treatment of Mature B-cell Lymphoma/Leukaemia A SFOP LMB 96/CCG 5961/UKCCSG NHL 9600 Cooperative Study,,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT01180335,,,2011,Randomized Trial Comparing Standard Neoadjuvant Chemotherapy to Genomic Driven Chemotherapy Regimen in Patients With Breast Cancer,REMAGUS04,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00936156,,,2012,,,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00433706,,,2012,Economic Evaluation of Image Guided Radiation Therapy For Prostate Cancer,,PROCEDURE
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT00552149,,,2012,"A Multicenter, Randomized Phase II Trial Assessing the Activity of Gemcitabine - Oxaliplatin Chemotherapy Alone or in Combination With Cetuximab in Patients With Advanced Biliary Cancer.",,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT02220049,,,2013,Phase I Dose Escalation of Velcade (Bortezomib) Daily Dose in Patients With Advances or Metastatic Solid Tumors,VELDAY,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT02666690,,,2013,Study of the Intra-patient Variability of the Quantitative Parameters of Tumor Perfusion Evaluated With Ultrasound Contrast,VARIA-DCE-US,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT02246244,,,2013,"Randomized, Double Blind, Efficacy Study of Escitalopram Versus Placebo in ENT Cancer Patients Suffering From Emotional Distress",TADDOR,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT02515877,,,2013,Modulation of the Expression of Papillomavirus (HPV) Oncoproteins to Major the Radiosensitivity: Phase I Trial Combining an Antiviral Agent VISTIDE and Radiochemotherapy in Cervical Cancers,HPV-RX,RADIATION
⬛,4,4: pas de résultats postés ni publiés,NCT01486251,,,2014,Assessment of the Tumor Vascular Effects of the Pan-vegfr Tyrosine Kinase Inhibitor Axitinib Using Dynamic Contrast-enhanced Ultrasonography (Dce-us) in Patients With Refractory Metastatic Colorectal Cancer,AXUS,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01459003,,,2014,Evaluation of Beauty Care Before Chemotherapy in Women With Breast Cancer,BEAUTY,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02516995,,,2014,Functional Magnetic Resonance Imaging for High Throughput Curietherapy Planning in Prostate Cancer,FIBROP,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT00949039,,,2014,,,RADIATION
⬛,4,4: pas de résultats postés ni publiés,NCT00359645,,,2015,DEPISTORL - THANCS (Trial of Head And Neck Cancer Screening) Randomized Multicenter Trial to Assess the Impact of a Screening Program for Heavy Alcohol Drinkers and Smokers Treated in Alcohol Addiction Clinics on Upper Aerodigestive Tract Cancer Mortality.,,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT01159288,,,2015,Phase II Trial of a Vaccination With Tumor Antigen-loaded Dendritic Cell-derived Exosomes on Patients With Unresectable Non Small Cell Lung Cancer Responding to Induction Chemotherapy,CSET 1437,BIOLOGICAL
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT01786031,,,2015,Prostate Cancer Evaluation of TaRgets in Genito Urinary Screening Program,PETRUS,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02217956,,,2015,"Phase I Study of Cisplatin Hyperthermic Intraperitoneal Chemotherapy Dose Escalation After Surgery in Patients With Unresectable Stage IIIC Ovarian, Tube or Peritoneal Primary Adenocarcinoma Previously Treated by Chemotherapy and Completed by Bevacizumab for 15 Months",CHIPASTIN,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00918320,,,2015,Phase 2 Single- Arm Studies of Temozolomide in Combination With Topotecan in Refractory and Relapsed Neuroblastoma and Other Paediatric Solid Tumours,TOTEM2,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01112254,,,2015,Evaluation of the Diagnostic Performance of MRI±Biopsy to Optimize Resection of Ductal Carcinoma In Situ (DCIS) Breast Cancer,IRCIS,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT01677884,,,2016,Intra-arterial Hepatic Bevacizumab and Systemic Chemotherapy in Hepatic Metastases of Metastatic Colorectal Cancer: a Phase II Multicentric Study With Patients in Progression After First Line Systemic Chemotherapy,BEVIAC,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01884922,,,2016,"PHASE I-II STUDY OF VINBLASTINE IN COMBINATION WITH NILOTINIB IN CHILDREN, ADOLESCENTS, AND YOUNG ADULTS WITH REFRACTORY OR RECURRENT LOW-GRADE GLIOMA",VINILO,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT02094391,,,2016,"A Randomized, Open Label, Multicenter, Comparative Phase II Trial of Ipilimumab After Isolated Limb Perfusion (ILP), in Patients With In-transit Metastases Melanoma Stage IIIB and IIIC",ILP+/-IPI,DRUG
🟩,1,1: résultats postés ou publiés dans les 12 mois,NCT02131480,,,2016,A Multicentric Phase II Trial Studying Efficacy of Doxorubicin Associated With Trabectedin (Yondelis) in First Line Treatment on Patients With Metastatic Leiomyosarcoma (Uterus or Soft Tissue) and/or Inoperable Relapse,LMS02,DRUG
