statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
⬛,4,4: pas de résultats postés ni publiés,NCT00851760,,,2007,Idiopathic Epiretinal Macular Membrane and Cataract Extraction : Combined vs Consecutive Surgery,,PROCEDURE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00658463,,,2007,"Effects of Rosuvastatin on the, in Vivo, Kinetic of VLDL apoB, IDL apoB, LDL apoB and HDL apoA1, Using Stable Isotopes, in Type 2 Diabetic Patients",,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00629044,,,2011,Etude du Polymorphysme génétique de la cholestérol 24S Hydroxylase et Des Teneurs en 24S hydroxycholestérol Chez Des Patients Atteints de Glaucome ou de dégénérescence Maculaire liée à l'âge.,,BIOLOGICAL
⬛,4,4: pas de résultats postés ni publiés,NCT01481987,,,2011,Retinal Sensitivity and Optical Coherence Tomography Findings in Eyes With Idiopathic Epiretinal Membrane,,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT01907620,,,2011,,,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02873858,,,2011,Elucidation of Sensory Characteristics and Food Preferences in the Elderly,AUPALESENS,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT01599338,,,2011,"Influence du Victoza (Liraglutide,Analogue GLP-1) Sur Les Performances Gustatives, le Rassasiement Sensoriel spécifique, le Liking et le Wanting Chez Les Patients diabétiques de Type 2.",,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT03657979,,,2012,Transversus Abdominis Plane (TAP) Block in Open Abdominal Aortic Surgery : Randomized Controlled Doubled-blind Trial Comparing Ropivacaine 0.2% Versus Placebo,TAP-CACAO,DRUG
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT00354237,,,2012,"Effect of Strict Glycemic Control on Improvement of Exercise Capacities (VO2 Peak, Peak Workload After Cardiac Rehabilitation, in Patients With Type 2 Diabetes Mellitus With Coronary Artery Disease.",,OTHER
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT01040559,,,2012,"Chemoembolisation of Non Resectable, Non Metastatic Hepatocellular Carcinomas Combining DC Bead Microspheres Loaded With Idarubicin (Zavedos®): Phase I Trial",,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT01907477,,,2012,,,OTHER
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00953498,,,2012,Influence of Glitazones on the Vasodilatory Effect of HDL Lipoproteins and on Phospholipase A2,,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT03656900,,,2013,"Monocentric Pilot Study, for a Randomized, Crossover, Blinded Trial: Comparison of the Therapeutic Efficacy of Low Frequency Repeated Transcranial Magnetic Stimulation on Cortical Area 9 Compared to Brodmann Area 46 in the Treatment of Depressive Disorders.",rTMS,RADIATION
⬛,4,4: pas de résultats postés ni publiés,NCT01963299,,,2013,Prospective Randomised Double-blind Study to Compare Ropivacaine 10mg/mL Alone Versus Ropivacaine 10mg/mL Associated With Clonidine 1µg/kg for Peribulbar Anesthesia in Posterior Eye Surgery,CRAPO,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT01907399,,,2014,,IMMUNOBEDIA,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02028936,,,2014,Study of the Impact of the Regular Consumption of Polyphenol-rich Grape Juice on the Biological Parameters of Oxidative Stress and on Endothelial Function in Healthy Subjects: a Prospective Randomised Double-blind Study,Fijus Raisol,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT01510314,,,2014,Comparison of C-reactive Protein and Procalcitonin to Detect Infectious Complications After Elective Colorectal Surgery,IMACORS,BIOLOGICAL
⬛,4,4: pas de résultats postés ni publiés,NCT02080728,,,2014,Transversus Abdominis Plane Block During Kidney Transplant Surgery: Prospective Controlled Randomized Double-blind Trial Comparing Ropivacaine 0.2% With Placebo.,,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT02859090,,,2014,Single-centre Study of the Expression of Heat Shock Proteins in the Lymphocytes From the Tonsils of Patients With Various Diseases Requiring Tonsillectomy,HOTLYMPHO,BIOLOGICAL
⬛,4,4: pas de résultats postés ni publiés,NCT01768078,,,2014,Interest of Intravitreal Corticotherapy as the First-line Treatment for Post-operative Endophthalmitis.,Endophtalmitis,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,,2013-000950-23,,2015,Intérêt de la cryothérapie ou de l'aérosolisation par corticoïdes sur les troubles de la déglutition en post-opératoire précose après thyroïdectomie totale.,DEGLUTHYR,
⬛,4,4: pas de résultats postés ni publiés,NCT02814240,,,2015,"Hepatic Steatosis and Pituitary Gland Failure, Evaluation by NMR Imaging",SHAH,BIOLOGICAL
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01904812,,,2015,,EQUAL,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT01340222,,,2015,"Evaluation of the Prognostic Value of Monocytes and Lymphocyte Phenotyping, Along With Intracellular MCP-1 Expression, to Predict Preterm Delivery for Women Hospitalized for Threat of Preterm Labor Between 24 and 34 Weeks of Amenorrhea: PhenoMAP Study",PHENOMAP,BIOLOGICAL
⬛,4,4: pas de résultats postés ni publiés,NCT01767038,,,2015,Study of Anatomical and Functional Recovery Following Retinal Detachment: Identify Correlations Between Visual Acuity and SD-OCT and Microperimetry Findings.,DOREFA,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT01766362,,,2015,Incidence of Macular Edema After Panretinal Photocoagulation (PRPC) Performed in a Single Session Versus Four Sessions in Diabetic Patients.,Pascal,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT02855866,,,2015,Interest of Cryotherapy or Cortisone Aerosol Therapy in Early Post-operative Swallowing Disorders Following Total Thyroidectomy,DEGLUTHYR,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT02810041,,,2015,Randomized Controlled Double-blind Clinical Trial for the Effect of Yoghurts Enriched in XXS vs Without XXS on the Evolution of Weight in Overweight Subjects Aged 50 to 65 Years.,VITALIM Senior,DIETARY_SUPPLEMENT
🟩,1,1: résultats postés ou publiés dans les 12 mois,NCT01962116,,,2016,"Citrate Versus Heparin for the Lock of Non-tunneled Hemodialysis Catheters in Patients Hospitalised in ICU = Multicentre, Controlled, Randomised Superiority Trial",VERROU-REA,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01900717,,,2016,Evaluation of Bevacizumab in Combination With First-Line Chemotherapy in Patients Aged 75 Years of Older With Metastatic Colorectal Adenocarcinoma,Prodige20,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT02167724,,,2016,Multicentre Evaluation of Bucco-dental Health in Patients With Schizophrenia in Côte d'Or,BUCCODOR,OTHER
