statut,statut_label,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,results_1y,results_3y,results,intervention_type
⬛,bleu,pas de résultat ni de publication,NCT01069146,,,2005,Mild Therapeutic Hypothermia During Severe Sepsis,,False,False,False,PROCEDURE
🟥,rouge,résultat et / ou publication posté,NCT00349661,,,2006,Influence Of Omeprazole On The Anti-Platelet Action Of Clopidogrel Associated To Aspirin: Double-Blind Randomized Trial Against Placebo,,False,False,True,DRUG
⬛,bleu,pas de résultat ni de publication,NCT00295672,,,2007,Oral Vinorelbine and Cisplatin and Concurrent Radiotherapy After Induction Chemotherapy With Cisplatin-docetaxel in Patients With Locally Advanced Non-small-cell Lung Cancer. A Multicenter Phase II Trial,VINCR,False,False,False,DRUG
🟥,rouge,résultat et / ou publication posté,NCT01078714,,,2011,Study of the Efficiency of a Treatment by Bumetanide in a Population of Autistic Children,BUMEA,False,False,True,DRUG
⬛,bleu,pas de résultat ni de publication,NCT00740844,,,2011,Evaluation of Intermittent Pneumatic Compression (IPC) of the Lower Limbs Associated With Elastic Stockings (ES) Compared to ES Alone on Venous Thromboembolism Incidence in Patients With High Bleeding Risk Hospitalized in Intensive Medical Care Units,CIREA1,False,False,False,DEVICE
🟥,rouge,résultat et / ou publication posté,NCT00740935,,,2011,"Impact of Systematic Infants Vaccination Against Rotavirus on Gastroenteritis Hospitalization: a Prospective Study in Brest District, France.",IVANHOE,False,False,True,BIOLOGICAL
⬛,bleu,pas de résultat ni de publication,NCT01216488,,,2011,Comparison of Axillary Block Under Ultrasound With 40 or 25 ml of Xylocaine 1.5% Adrenalin in Forearm or Arm Surgery.,COMBAX,False,False,False,DRUG
⬛,bleu,pas de résultat ni de publication,NCT01545011,,,2012,Effects of Inspiratory Muscle Training Combined With a Pulmonary Rehabilitation Program Versus a Program of Pulmonary Rehabilitation Alone on Dyspnea: a Randomized Trial,IMT,False,False,False,OTHER
🟧,orange,résultat et / ou publication posté dans les 36 mois,NCT00740948,,,2013,Tolerance and Efficacy of Rituximab in Sjogren's Disease,TEARS,False,True,True,DRUG
⬛,bleu,pas de résultat ni de publication,NCT02109263,,,2013,Breastfeeding Versus Saccharose for Prevention of the Procedural Pain in the Newborn,ACTISUCROSE,False,False,False,PROCEDURE
⬛,bleu,pas de résultat ni de publication,NCT01759199,,,2013,The Six-minute Stepper Test : Marker of Exercise Tolerance's Evolution During Pulmonary Rehabilitation in Patients With COPD ?,STEPPER,False,False,False,PROCEDURE
⬛,bleu,pas de résultat ni de publication,NCT00560664,,,2013,Phase 3 Study Comparison of Autologous Chondrocyte Implantation Versus Mosaicoplasty,Cartipatch,False,False,False,PROCEDURE
⬛,bleu,pas de résultat ni de publication,NCT01028092,,,2014,mTor-inhibitor (EVERolimus) Based Immunosuppressive Strategies for CNI Minimisation in OLD for Old Renal Transplantation,EVEROLD,False,False,False,DRUG
⬛,bleu,pas de résultat ni de publication,NCT01855256,,,2014,Treatment of Hyperhidrosis With Oxybutynin: a Randomized Controlled Double Blind Against Placebo,H²O,False,False,False,DRUG
🟧,orange,résultat et / ou publication posté dans les 36 mois,NCT02027181,,,2014,Automation of the Oxygen's Administration in Spontaneous Ventilation (FreeO2) During the Hypoxemic Acute Respiratory Distress,FreeO2-Hypox,False,True,True,DEVICE
