statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
⬛,4,4: pas de résultats postés ni publiés,NCT00324584,,,2004,Surveillance Des données De l'Autosurveillance glycémique Via Internet Et Le réseau téléphonique GSM Chez Le diabétique De Type 1 Sous Traitement Insulinique Par Pompe Externe : Etude Prospective randomisée PumpNet.,,DEVICE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00447018,,,2005,Equimolar Doses of Mannitol and Hypertonic Saline in the Treatment of Elevated Intracranial Pressure,,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00348764,,,2006,Treatment of Greater Saphenous Vein (GSV) Insufficiency Using Echo-Guided Sclerotherapy With Lauromacrogol 400 Foam -Comparative Study of 3% Versus 1% Concentration.,,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00321256,,,2007,Transplantation d'Ilots Pancreatiques Allogeniques Adultes Pour le Traitement du Diabete Insulino-dependant: Etude GRAGIL 2.,,PROCEDURE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00324792,,,2007,Effect of an Intensive Insulin Therapy on the Production of LTE4 in Patients With Diabetes,,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00230984,,,2008,Effects of Home Pulmonary Rehabilitation in Patients With Chronic Respiratory Failure and Nutritional Depletion.,,BEHAVIORAL
⬛,4,4: pas de résultats postés ni publiés,NCT00639561,,,2008,Effect of Controlled Diets on Structural and Functional Dynamic of the Human Intestinal Microflora,AlimIntest,DIETARY_SUPPLEMENT
⬛,4,4: pas de résultats postés ni publiés,NCT00970385,,,2008,Multicentric Study About Treatment of High Grade Peripheral T Cell Lymphoma in Adults. LTP Study Comparison Between VIP ABVD Versus CHOP,LTP,RADIATION
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00700544,,,2008,Adjonction of Androgenotheapy for Post-Remission Treatment of Elderly Patients With Acute Myeloid Leukemia - Results of the Multicenter Goelams SA-2002 Trial.,,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00417235,,,2008,Dressing: Comparison of 3-day and 7-day Catheter Dressing Frequency and Efficacy of Antiseptic Impregnated Dressing in Preventing Catheter-related Infection in ICU,DRESSING,BEHAVIORAL
⬛,4,4: pas de résultats postés ni publiés,NCT00864955,,,2009,Damage to DNA Caused by UV-A Irradiation: Photochemical Mechanism and Cutaneous Parameters Involved in the Formation of Cyclobutane Pyrimidine Dimers,DIMUVA,RADIATION
⬛,4,4: pas de résultats postés ni publiés,NCT01015651,,,2009,Assessment of the Nociception During Lumbar Surgery,CARDEAN-2,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00409487,,,2009,Comparative Study of Effect of Valsartan 160mg Treatment Versus Continuous Positive Airway Pressure on Arterial Blood Pressure in Patients Who Have an Obstructive Sleep Apnea Syndrome and a Weak or Moderate Hypertension.,VALSAS,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT00273767,,,2009,Double-blind Phase II Pilot Monocentric Randomized Clinical Trial Evaluating the Effect of a Preliminary Administration of Erythropoietin on Different Markers of Cardiac Ischemia Induced by Cardiopulmonary Bypass,EPOetCEC,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00862381,,,2010,Opothérapie Par Hydrocortisone après Injection Unique d'Etomidate Chez le Patient de réanimation,,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00827749,,,2010,Contribution of Respiratory Plethysmography by Inductance and of Informatic Tool for the Study of Swallowing Disorders in Geriatrics (PRIOD),PRIOD,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT00758082,,,2010,Reinforcement of the Impact of a Functional Insulin Therapy Training Course by Telemonotoring With a PDA-phone in Type 1 Diabetic Patients. The TELFIT Study,TELFIT,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT00914329,,,2010,"Randomized Controlled Study Versus Placebo Evaluating Effectiveness of Gelsemium Sempervirens (5CH et 15CH) on Provoked Anticipatory Anxiety, in Healthy Volunteers",ANXIHOMEV,DRUG
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT00828035,,,2011,Light Endoscopic Robot Use in Abdominal and Urological Laparoscopic Surgery,,PROCEDURE
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT01082484,,,2011,Cutaneous Iontophoresis of Iloprost and Treprostinil in Healthy Volunteers,INFLUX-IT-VS,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT01614119,,,2011,Evaluation of the Cerebral Responses to Exercise in Hypoxia,CERVOX,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT00710099,,,2011,Effect of Oral Sildenafil With Digital Therapeutic Iontophoresis of Sodium Nitroprussiate on Cutaneous Blood Flow in Healthy Volunteers,INFLUX-VS,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT01210755,,,2011,"Reversion of the Anticoagulant Effect of the New Antithrombotic Agents Anti-Xa and Anti IIa by Specific and Non-specific Haemostatic Drugs,: an Ex-Vivo Study in Healthy Volunteers",REVNEWANTICO,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00860106,,,2011,Study of Predictive Echo Doppler Score and D-dimer Level in Evaluation of the Thromboembolic Event Recurrence After Anticoagulant Treatment Cessation.,VAPRED,OTHER
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT01189682,,,2011,Impact of Tegaderm HP and Tegaderm CHG in Major Catheter Related Infections and Dressing Detachment in ICU Patients a Prospective Randomized Study,DRESSING2,PROCEDURE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01398696,,,2011,Impact of Four Patient Information Leaflets (PIL) on Patient Behaviour : a Randomised Controlled Trial in Primary Care.,PIL,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT01235637,,,2012,Efficacy of Alfentanyl Versus Sufentanyl in Children for Pain During Treatment by Tracheal Suction in an Intensive Care Unit.,DOLOREAPEDIA,DRUG
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT00886184,,,2012,Intra-arrest Therapeutic Hypothermia in Prehospital Cardiac Arrest. Impact on Biomarker of Brain Damage.,HITUPPAC-BIO,PROCEDURE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01058200,,,2012,"Assess the Risk-benefit Balance of the New Vacuum Assisted-delivery Device ""iCUP"" Versus the Reference Vacuum. Multicenter Prospective Randomized Controlled Study",ICUP,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT01411605,,,2012,Influence of Cardio-ventilatory Factors on Exercise Intolerance in Obese Adolescents: Effects of Exercise Training,VENTILOBE,BEHAVIORAL
⬛,4,4: pas de résultats postés ni publiés,NCT01295749,,,2012,Reduction of no Flow Time During Out of Hospital Cardiac Arrest by Using Laryngeal Tube for Airway Management by Nurses.,FLOWERS,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT00837018,,,2012,Exercise Intolerance in Obstructive Sleep Apnea Syndrome Patients: Cardiovascular and Metabolic Characterisation During Exercise. Treatments Effect.,EXAOS,OTHER
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01743794,,,2012,"Efficacy of Continuous Wound Infusion in Major Lumbar and Thoracic Spine Surgery : A Randomised, Double-blinded, Placebo-controlled Study",,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00777985,,,2012,Cardiovascular Consequences of Obstructive Sleep Apnea (OSA): Role of Endothelin and Preventive Effects of Bosentan,BOSAS,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT01290198,,,2012,Role of Epoxy-eicosatrienoic Acids in Post-occlusive Hyperemia and Thermal Hyperemia,EETY,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00885573,,,2012,Measurement of Pharyngeal Sensitivity With the SENSITEST Device: Validation of the Diagnosis Algorithm for Sleep Disordered Breathing,SENSITEST,DEVICE
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT01821469,,,2013,Functional Correlates of Bipolar Disorders and Effects of the Psychoeducation. Assessment by Functional and Anatomic Neuroimaging.,BIP-ED,BEHAVIORAL
⬛,4,4: pas de résultats postés ni publiés,NCT01773564,,,2013,Comparison Between Two Types of Semipermeable Dressings of New Generation in the Prevention of Intravascular Catheters Related Complications in Intensive Care.,ADVANCED,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT01857089,,,2013,Characterization of Sitting Postures in Healthy Subjects,CaPAS,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT01095042,,,2013,Etude de la réactivité émotionnelle Des Patients MICI ou SII,EMOTION,BEHAVIORAL
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT00464659,,,2013,"Comparison of the Evolution of Memory Deficit in Patients With Sleep Apnea Obstructive Syndrome (SAOS) Before and After ""Effective"" Versus Sham Treatment by Positive Pression Continues (PPC)",,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT01423409,,,2013,Assessment of an Innovative Visual Analogue Scale of Pain (Pictorial VAS) Versus the Usual VAS (VAS) Among Deaf People,EVA_SOURD,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT00935051,,,2013,Assessment of the MMP-1/TIMP-1 Ratio as a Predictor of Wound Healing in Diabetic Foot Ulcers,DIAB-MMP2,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02854306,,,2014,Psycho-sensorial Mindfulness and Top-down Control : Mindfulness Program for Obese Patients in Preparation to Bariatric Surgery,PConscience,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT02880150,,,2014,Physiological Characteristics of High Altitude Climbers,ALTIPERF,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT00639028,,,2014,"Comparative Study of Two Radiological Modalities, Ultrasonography Versus Stress Radiography, in the Urgent Care and Prognosis of Lateral Ankle Sprains.",TALOS,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT01798732,,,2014,Effect of Selective Laser Trabeculoplasty on the Intraocular Pressure Nycthemeral Rhythm.,PIO laser SPNP,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT01537965,,,2014,,FIBRECHO,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT02843958,,,2014,"Validation of a Portable Medical Device for Diagnostic in Vitro, Designed to Measure Blood Coagulation's Biological Parameters",HEMOPTIC,DEVICE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00746902,,,2014,"Study of the Relationships Between Refractory Hypertension, Overweight/Obesity and Sleep Apnea Syndrome",RHOOSAS,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT01672268,,,2014,Interest of Cardiac Computed Tomography (CT) to Optimize and Improve the Procedure of Transcatheter Aortic Valve Implantation (TAVI),CT-TAVI,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT00908557,,,2014,Multicenter RCT to Assess the Impact of Improvements in Lexico-syntactic Readability and Good Practice in Writing on the Comprehension of Written Information Given to Patients Participating in Clinical Trials.,LISYCOM,OTHER
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01038284,,,2014,Evaluation of Multidisciplinary Collaboration Care Program in Pulmonary Arterial Hypertension,ETHAP,BEHAVIORAL
⬛,4,4: pas de résultats postés ni publiés,NCT02128750,,,2014,Echographie de Contraste Pour l'Analyse de la Perfusion Musculaire Dans l'ischémie Critique,Echomuscle,OTHER
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01734603,,,2014,"Randomized, Monocentric and Multidisciplinary Study of the Effects of an Intensive Rehabilitation by Interval Training With Active Recovery in Peripheral Arterial Disease With Claudication",ARTEX,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT02231528,,,2014,Interest of Ultrasound Coupled to a Guidance System (GPS) for Central Venous Catheters (CVC) Insertion.,VVC and GPS,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT02236442,,,2015,Therapeutic Management of Acute Cephalalgia Before and After Use of a Therapeutic Protocol in Emergency Department,PEACE,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT01799304,,,2015,Is it Possible to Improve Static and Dynamic Postural Stability in Cerebral Palsy Children by Modulating Attention?,Dual-Task,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT02360241,,,2015,LPRobacus: Light Needle Positioning Robot Under MRI Guidance,LPRobacus,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT02849561,,,2015,Evaluation of Prognosis Factors of Neurological Evolution in Cardiac Arrest : Prospective Study of Routine Care,ACR,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT01848964,,,2015,Peut-on améliorer la Marche de l'amputé fémoral en Guidant la Correction prothétique Par l'Analyse Des Pressions Dans l'emboîture ?,,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT02843971,,,2015,Evaluation of the Water Drinking Test Response in Supine and Sitting Position Using the Continuous Intraocular Pressure Measurement Device Sensimed Triggerfish in Healthy Subjects,PIO-WDT,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT02843893,,,2015,"Evaluation of Pupillary Distension Reflexes, as a Tool for the Monitoring of Analgesia for Patients in Intensive Care.",PUPILLO REA,DEVICE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01741337,,,2015,"Central Sleep Apneas Syndrome and Ventricular Function in Patients With Heart Failure, After Coronary Artery Bypass Graft Surgery or Other Coronary Reperfusion",,PROCEDURE
🟩,1,1: résultats postés ou publiés dans les 12 mois,NCT01743612,,,2015,Laser SPEckle Contrast Imaging Interest in dEtection of Cutaneous Microvascular Dysfunction in Systemic Sclerosis.,SPECIES,PROCEDURE
🟩,1,1: résultats postés ou publiés dans les 12 mois,NCT01814267,,,2015,,AIRPEDIA,OTHER
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01308801,,,2015,Benefice Assessment of Repetitive Transcranial Magnetic Stimulation Used as an Additional Procedure to Rehabilitation Exercises in Patients Suffering From Fibromyalgia,STIMALGI,DEVICE
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT02380482,,,2015,Myocardial Dysfunction at Early Phase of Traumatic Brain Injury : Evaluation by Two Dimensional and Speckle Tracking Transthoracic Echocardiography,Echo-TC,OTHER
