statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
⬛,4,4: pas de résultats postés ni publiés,NCT00295113,,,2003,Interest of a 30 Minutes' Intermittent Work Exercise Test in Patients With Chronic Obstructive Pulmonary Disease: Cardiac and Pulmonary Functions,,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00213915,,,2004,Effects of Oral Chronic L-Arginine Supplementation on Exercise and Renal Function of Heart Transplant Recipients,,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00213759,,,2006,Prevention Trial of Nosocomial Infections in Neutropenic Prematures With G-CSF,,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00213850,,,2006,Reference Values for Respiratory Resistance Measured by the Interrupter Technique in Adults,,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT02091791,,,2006,High Versus Low Level of Lumbar Traction in Acute Lumbar Sciatica Due to Disc Herniation,,PROCEDURE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00357487,,,2007,Sentinel Lymph Node Identification in Case of Breast Cancer. Clinical Evaluation of a New Intra-operative Probe and a Mini Gamma Camera,,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT00213837,,,2008,Reconstruction Implant Bone (Anterior Mandibular Arch) After Removing Using Porous Titanium Prosthesis in ENT Surgery,,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT00696033,,,2008,Exploring the Effects of Diazepam and Lorazepam on the Neural Correlates of Perceptual Priming and Explicit Memory in Healthy Volunteers,ibid,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00620490,,,2009,Postoperative Analgesia After Thoracotomy Without Thoracic Epidural Analgesia : Paravertebral Analgesia With a Catheter Associated With Intravenous Morphine Patient-controlled-analgesia (Pca),,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT01013727,,,2010,Functional Neuroimaging of Postural Reconstruction: Preliminary Study on a Dorsiflexion Motion of the Ankle and Comparison Between an Arm Following Postural Reconstruction Program and a Comparator Arm Following a Muscular Stretching Program,,RADIATION
⬛,4,4: pas de résultats postés ni publiés,NCT00382707,,,2011,Transcranial Magnetic Stimulation and Anti-epileptic Effect: Optimization and Evaluation With Electrophysiology.,,DEVICE
