statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
⬛,4,4 : pas de résultats postés ni publiés,NCT00370240,,,2008,Efficacy of Infiltration of Chlorhydrate of Ropivacaine in the Prevention of Chronic Breast Pain After Surgery for Breast Cancer.,,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT00853710,,,2009,Validation of a Semiquantitative Screening Assay for PSA,,OTHER
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT01455363,,,2011,"Etude peropératoire de la Perfusion Sanguine Des Carcinomes Basocellulaires Par Imageur Laser Doppler, au Cours de la Manipulation de l'Influx artériel Tumoral - Recherche d'un phénomène d'hyperémie Tumorale Post-occlusive",HPOB,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT01448759,,,2012,Prospective Evaluation of Plasma Alcohol Concentration in Patients Receiving Paclitaxel or Docetaxel Infusion,ALCOOTAX,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT01334008,,,2012,Development and Validation of a Circulating Tumor DNA Detection Technique in Patients With Metastatic Choroidal Melanoma,,BIOLOGICAL
⬛,4,4 : pas de résultats postés ni publiés,NCT02839473,,,2014,Hydrosorb® Versus Control (Water Based Spray) in the Management of Radio-induced Skin Toxicity: Multicentre Controlled Phase III Randomized Trial,HYDROSORB,DEVICE
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00957411,2008-001053-18,,2014,"Phase II Randomized Assessing Pelvic Irradiation Combined With Cisplatin Alone or Cisplatin Plus Cetuximab in Patients With Carcinoma of the Cervix Stage IB2, II and III",CETUXICOL,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT02849106,,,2015,Predictive Response to Chemotherapy (FOLFOX or FOLFIRI) by ex Vivo Culture 3D Technique in Metastatic Colorectal Cancer: a Preliminary Study,CULTURE3D,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT01350908,,,2015,Development and Validation of a Circulating Tumor DNA Detection Technique in Patients With Ovarian Cancer,,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT02519166,,,2015,,Biofilm Plaie,BIOLOGICAL
🟩,1,1 : résultats postés ou publiés dans les 12 mois,NCT01349842,,,2018,CirCe01 Study: Evaluation of the Use of Circulating Tumour Cells to Guide Chemotherapy From the 3rd Line of Chemotherapy for Metastatic Breast Cancer,CirCé01,OTHER
🟩,1,1 : résultats postés ou publiés dans les 12 mois,NCT01373710,2009-017218-63,,2018,Phase 1-2 Study of Safety and Efficacy of Intrathecal Trastuzumab Administration in Metastatic HER2 Positive Breast Cancer Patients Developing Carcinomatous Meningitis,HIT,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT02831634,,,2018,A Feasibility Study to Identify T-cell Responses to Neo-epitopes in Tumor Invaded Lymph Nodes,,PROCEDURE
🟧,2,2 : résultats postés ou publiés entre 12 et 36 mois,NCT01956695,2012-003786-17,,2018,Phase II Study Evaluating the Efficacy of Lenalidomide in Association With Rituximab in Refractory or Relapse of Primary Central Nervous System Lymphoma (PCNSL),REVRI,DRUG
🟩,1,1 : résultats postés ou publiés dans les 12 mois,NCT01975142,,,2019,Validity of HER2-amplified Circulating Tumor Cells to Select Metastatic Breast Cancer Considered HER2-negative for Trastuzumab-emtansine (T-DM1) Treatment.,,DRUG
🟩,1,1 : résultats postés ou publiés dans les 12 mois,NCT02408393,,,2019,MIRs03: A Double-blind Randomized Trial of Paravertebral Block With Ropivacaine Before Breast Cancer Surgery: Effects on Chronic Postoperative Pain,MIRs03,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT02875652,,,2019,Study of Circulating Tumoral DNA Evolution in Plasma in Choroidal Melanoma,ctDNA MU,BIOLOGICAL
🟩,1,1 : résultats postés ou publiés dans les 12 mois,NCT02428842,,,2020,Biomarker Evaluation in Advanced Stage Cervical Cancer by an International Working Group. Tumor Stages (1B1 - 4),BIO-RAIDs,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT02834494,,,2020,"3D Elastography (Shear Wave) : Assessment of Response to Neo-adjuvant Chemotherapy (NACT) : in Vivo Quantification, for Patients With a Locally Advanced Breast Cancer.",NEO-ELASTO,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT03703557,,,2020,Feasibility Study on the Possibility of Isolation of Volatile Organic Compounds (VOCs) Related to the Olfactory Signature of Breast Cancer,KDOG2,DIAGNOSTIC_TEST
⬛,4,4 : pas de résultats postés ni publiés,NCT02849145,,,2020,Study to Evaluation Interest of the Circulating Tumor DNA Dosage in Patient With Hepatic Metastatic Uveal Melanoma Candidate to Complete Resection (R0),,BIOLOGICAL
🟩,1,1 : résultats postés ou publiés dans les 12 mois,NCT01351870,,,2020,A Prospective Randomised Controlled Trial of Hyperfractionated Versus Conventionally Fractionated Radiotherapy in Standard Risk Medulloblastoma,SIOP-PNET-4,RADIATION
⬛,4,4 : pas de résultats postés ni publiés,NCT02843386,,,2020,Randomized Phase III Study Comparing an Adjuvant Chemotherapy With Fotemustin to Intensive Surveillance in Patients With High Risk Uveal Melanoma,FOTEADJ,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT02608346,,,2021,Circulating Tumor DNA and Follow-up of BRCA1 Mutation Carriers (CirCa 01),,PROCEDURE
