statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00003606,,,2001,Phase III Randomized Study of Cisplatin and Etoposide With or Without Epirubicin and Cyclophosphamide for Extensive Stage Small Cell Lung Cancer,,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT00003683,,,2002,Treatment of Sarcomatous Kidney Cancer That is Metastatic in Adults With Doxorubicin and Ifosfamide. Phase II Study,,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00002870,,,2002,"A RANDOMIZED, MULTI-CENTRE PHASE III TRIAL TO EVALUATE THE ROLE OF INTENSIFIED THERAPY WITH AUTOLOGOUS TRANSPLANTATION OF HEMATOPOIETIC STEM CELLS IN ADVANCED OR METASTATIC BREAST CANCER RESPONDING TO INDUCTION CHEMOTHERAPY",,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT00002566,,,2003,INTERNATIONAL RANDOMIZED STUDY FOR THE SALVAGE TREATMENT OF GERM CELL TUMOURS,,PROCEDURE
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00006050,,,2003,Chemotherapy Intra-Arterial Hepatic With Oxaliplatin Combined With Leucovorin Calcium and Fluorouracil IV,,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT00006051,,,2005,Combination Chemotherapy Concurrent With Postoperative Radiotherapy Epidermoid Carcinoma of the Head and Neck at High Risk of Recurrence - Study of Feasibility,,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT00003860,,,2005,Intensive Chemotherapy With Peripheral Blood Stem Cell Support for Small Cell Lung Cancer,,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT00227708,,,2006,Phase II Trial Assessing the Impact on Instrumental and Daily Living Autonomy of a Chemotherapy Regimen With Bi-Weekly Docetaxel in the Treatment of Metastatic or Locally Advanced Non-Small Cell Lung Cancer in Patients Over the Age of 70,,PROCEDURE
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00005979,,,2007,Phase III Randomized Study of Intensive Adjuvant Chemotherapy for Resected Colon Cancer at High Risk of Recurrence,,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00066274,,,2007,"Randomized Phase II Study Evaluating Three Chemotherapies: [Irinotecan + Oxaliplatin (Irinox)], [Irinotecan + LV5FU2] and [Oxaliplatin + LV5FU2] as First Intention Treatment in Subjects With Metastatic Colorectal Cancer",,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00003652,,,2007,Intensification Therapy for Locally Advanced Epidermoid Cancer of the Anal Canal - Phase III Intergroup Study,,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT00006111,,,2008,"Multicenter Study of the Quality of Life of Patients With Invasive Urothelial Cancer Treated With Conservative Surgery Followed by Cisplatin, Fluorouracil and Radiotherapy",,PROCEDURE
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00104689,,,2008,Phase II Trial Assessing the Impact on the Activity of Daily Living of an Oral Chemotherapy by Capecitabine Associated With an Intravenous Chemotherapy by Oxaliplatin as First Line Treatment of Metastatic Colorectal Adenocarcinoma of Patients Aged Over 70,,DRUG
⬛,4,4 : pas de résultats postés ni publiés,NCT00006119,,,2008,Phase II Study of Hydroxyurea for the Treatment of Recurrent and/or Nonoperable Meningioma,,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00054587,,,2009,"Randomized And Multicentric Opened Phase III Study Evaluating The Concomitant Administration Of Docetaxel 75MG/M2 and Epirubicine 75MG/M2 Versus FEC 100 In Non Metastatic With Positive Lymphatic Nodes Breast Cancer Subjects, And The Sequential Addition Of Herceptin In (HER2+++) And (HER2++ And FISH+) Subjects",,DRUG
🟥,3,3 : résultats postés ou publiés après les 36 mois,NCT00287846,,,2010,Multicentric Phase I/II Study Evaluating the Efficacy and Toxicity of Imatinib in Adult Patients With Aggressive Fibromatosis That Cannot be Treated by Surgery or Curative Radiotherapy,,DRUG
