statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
⬛,4,4 : pas de résultats postés ni publiés,NCT02923297,,,2015,GALIG Gene Expression in Parkinson's Disease,GALIGPARK,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT02922114,,,2015,Comparison of the Clinical Examination and the Joint Ultrasonography in the Evaluation of Disease Activity in Systemic Lupus Patients,LUPUS,OTHER
🟧,2,2 : résultats postés ou publiés entre 12 et 36 mois,NCT02185989,,,2016,"Early Rehabilitation Combining Daily Electrical Muscle Stimulation and Early Bedside Cycling Exercise, Compared to Early Standard Rehabilitation. A Randomized, Assessor-blinded, Single-center Study in Intensive Care Patients.",PROMOREA1,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT03095690,,,2017,Determinants of Volumetric Bone Mineral Density at the Tibia and Radius and it's Relationship With Osteoporotic Fractures in Idiopathic Parkinson's Disease,DOPPA,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT03095677,,,2017,Acute and Chronic Effects of Dynamic Apnea in Healthy Untrained Subjects,APNEX,OTHER
🟧,2,2 : résultats postés ou publiés entre 12 et 36 mois,NCT03299894,,,2018,Usefulness of Routine qSOFA Calculation at Triage to Fasten Antimicrobial Administration in Patients With Bacterial Infection in the Emergency Department: a Quasi-experimental Study,qSOFAST,PROCEDURE
⬛,4,4 : pas de résultats postés ni publiés,NCT03316625,,,2018,Reference Curve on Bone Mineral Density in Young Adult: French Multicenter Study,COURDO,DIAGNOSTIC_TEST
⬛,4,4 : pas de résultats postés ni publiés,NCT03479047,,,2019,Mechanical Ventilation Weaning Prediction Improved by Diaphragmatic Ultrasound Associated With the Rapid Shallow Breathing Index,CODEX,DIAGNOSTIC_TEST
🟧,2,2 : résultats postés ou publiés entre 12 et 36 mois,NCT03398525,,,2019,"Effect of a Musical Intervention in the Intensive Care Unit During the Implantation of a Central Venous Access or a Dialysis Catheter: A Prospective, Randomized Pilot Study",MUSIC-CAT,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT03423004,,,2019,Comparative Study of Molecular Markers in Cutaneous Inflammation Between Psoriatic Lesional Skin and Healthy Non-lesional Skin,EMIP,PROCEDURE
🟩,1,1 : résultats postés ou publiés dans les 12 mois,NCT03829293,,,2019,High-Flow Nasal Oxygenation Versus Standard Oxygenation in Gastrointestinal Endoscopy With Sedation. A Prospective Multicenter Randomized Study,ODEPHI,DEVICE
⬛,4,4 : pas de résultats postés ni publiés,NCT03497078,,,2019,Comparison of Image Quality Between New Collimator LEHRS (General Electric - GE Healthcare) vs Siemens LEHR on Bone Scintigraphy,LEHRS,OTHER
⬛,4,4 : pas de résultats postés ni publiés,NCT03470116,,,2019,"MILAR, is a Controlled, Randomised, Comparative, Prospective, Multi-center, Superiority French Clinical Trial Comparing the MacGrath MAC Videolaryngoscope and the MacIntosh Laryngoscope for Oro-tracheal Intubation by Patients With Less Than 2 Criteria of Difficult Intubation in Elective Surgery.",MILAR,DEVICE
