statut,statut_label,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,results_1y,results_3y,results,intervention_type
⬛,noir,pas de résultat postés ni publiés,NCT00392158,,,2007,Target-controlled Infusion of Propofol and Remifentanil During General Anaesthesia Guided by the Index Bispectral: Comparison Between Manual Perfusion and Automated Perfusion,,False,False,False,DEVICE
⬛,noir,pas de résultat postés ni publiés,NCT00391885,,,2007,Target-controlled Infusion of Propofol and Remifentanil During General Anaesthesia Guided by Entropy of the Electroencephalogram: Comparison Between Manual Perfusion and Automated Perfusion,,False,False,False,DEVICE
⬛,noir,pas de résultat postés ni publiés,NCT00393003,,,2007,Target-controlled Infusion of Propofol and Remifentanil for Postoperative Sedation Guided by the Bispectral Index: Comparison Between Manual Perfusion and Automated Perfusion,,False,False,False,DEVICE
🟥,rouge,résultat postés ou publiés,NCT00571181,,,2008,Target-Controlled Infusion of Propofol and Remifentanil During General Anaesthesia Guided by the Index Bispectral: Comparison Between Manual Perfusion and Automated Perfusion During Rigid Bronchoscopy,,False,False,True,DEVICE
🟥,rouge,résultat postés ou publiés,,2007-001677-28,,2009,Evaluation de l’effet anesthésique du protoxyde d’azote dans une population d’opérés recevant une anesthésie totale intraveineuse en « boucle » guidée par l’index bispectral (Effect of nitrous oxide on intra-venous closed-loop anesthesia),Drone-Proto,False,False,True,
🟥,rouge,résultat postés ou publiés,NCT00547209,,,2009,"Anesthésie Totale Intraveineuse en "" Boucle d'Asservissement "" guidée Par l'Index Bispectral : Effet de l'Adjonction de Protoxyde d'Azote (Effect of Nitrous Oxide on Intravenous Closed-loop Anesthesia)",Drone-N2O,False,False,True,DRUG
⬛,noir,pas de résultat postés ni publiés,NCT00921284,,,2011,Closed-Loop Delivery of Propofol and Remifentanil: Sparing Effect of Dexmedetomidine,,False,False,False,DRUG
🟥,rouge,résultat postés ou publiés,NCT01058525,,,2011,Influence of Ultrasonographic Hydro-dissection With Glucose 5% Solution on Median Nerve Block Efficiency: a Prospective and Randomized Study,Hydro-Echo,False,False,True,PROCEDURE
⬛,noir,pas de résultat postés ni publiés,NCT00627081,,,2011,Intravenous Opioid-sparing Effect of Thoracic Epidural Administration of Chirocaine (5 mg/ml) During Thoracotomy,Drone-APDT,False,False,False,DRUG
🟥,rouge,résultat postés ou publiés,NCT01321580,,,2011,Comparison of the Hemoglobin Results Obtained With the Masimo Pronto 7 and the Clinical Laboratory Measurement Study,,False,False,True,DEVICE
⬛,noir,pas de résultat postés ni publiés,NCT01041872,,,2011,Dose-effect of Propofol for Anesthetic Induction: Double-blind Comparison of Different Propofol Formulations Administered Alone or With Lidocaine,Propofols,False,False,False,DRUG
⬛,noir,pas de résultat postés ni publiés,NCT00772616,,,2011,Influence of Intraoperative Analgesia (Sufentanil Administered According to the Usual Criteria or Remifentanil Administered by a Closed-loop System Using Bispectral Index as the Controller) on the Postoperative Morphine Consumption,,False,False,False,DRUG
🟥,rouge,résultat postés ou publiés,NCT01161004,,,2011,"Pilot Study of EEG Signs of Awakening Secondary to Injection of Sugammadex: Evaluation by Recording Bispectral Index and NeuroSENSE (Prospective, Double-blind Study)",Sugarecovery,False,False,True,DRUG
🟧,orange,résultat postés ou publiés dans les 36 mois,NCT00809393,,,2011,Comparison of Two Tranexamic Acid Dose Regimens on Transfusion Needs During Cardiac Surgery With Cardiopulmonary Bypass,Exacylcardio,False,True,True,DRUG
⬛,noir,pas de résultat postés ni publiés,NCT03357900,,,2012,Closed-loop Anaesthesia for Liver Transplantation: a Pilot Study,THConcentr,False,False,False,DEVICE
⬛,noir,pas de résultat postés ni publiés,NCT01782846,,,2013,"Double Blind-randomized Study Comparing the Efficacy of Two Analgesia (Ixprim® and Dafalgan-Codeine®) , in the Emergency Unit.",Trama-Code,False,False,False,DRUG
🟩,vert,résultat postés ou publiés dans les 12 mois,NCT01750970,,,2013,"Endoscopic Resection of High Grade(TA, T1, Cis)Non-muscle Invasive Bladder Tumors: Modification of Usual Management of This Resection by Using the Blue Light and Evaluation of the Outcome: Should we Maintain the Dogma of Second Endoscopic Resection as a Principle?",,True,True,True,OTHER
⬛,noir,pas de résultat postés ni publiés,NCT01648725,,,2013,Influence of Hypnosis on the Propofol Requirement to Induce General Anesthesia,LoopHypnosis,False,False,False,PROCEDURE
🟧,orange,résultat postés ou publiés dans les 36 mois,NCT00969683,,,2013,Comparison Between Left Double-lumen Tube With or Without a Carinal Hook During Lung Surgery,,False,True,True,DEVICE
⬛,noir,pas de résultat postés ni publiés,NCT02663284,,,2014,Evaluation of Non-invasive Monitor of Physiodoloris Pain in Patients With Complex Regional Pain Syndrome Treated by Nerve Block (Prospective Monocenter Study),ANI-ALGO,False,False,False,DRUG
⬛,noir,pas de résultat postés ni publiés,NCT01949181,,,2014,"Relationship Between Blood, Hair and Lung Metals/Metalloids Concentration (Cadmium, Iron, Copper, Nickel, Chrome, Arsenic, Vanadium, Beryllium, and Zinc) and Lung Cancer or Chronic Obstructive Pulmonary Disease.",Métaux/Poumons,False,False,False,PROCEDURE
⬛,noir,pas de résultat postés ni publiés,NCT01791166,,,2014,Humoral Rejection - Diagnostic Markers in Pulmonary Transplant.,RHUM-TP,False,False,False,BIOLOGICAL
🟧,orange,résultat postés ou publiés dans les 36 mois,NCT01654913,,,2014,Influence of the Inspired Oxygen Fraction on the Noninvasive Measurement of Hemoglobin Using Two Different Devices (Namely Pronto 7 and NBM-200),Hb-O2,False,True,True,DEVICE
⬛,noir,pas de résultat postés ni publiés,,2010-020067-20,,2014,"A multicentre phase II trial to determine the efficacy of RAD 001 (everolimus, Afinitor®) as second line therapy in patients with transitional cell carcinoma (TCC) of the urothelium which failed or progressed after first line chemotherapy.",AFINIVEST,False,False,False,
🟥,rouge,résultat postés ou publiés,NCT02077101,,,2014,Representations and Acceptability of HIV Therapeutic Vaccine in a Cohort of HIV-1 Infected Outpatients Followed at Hospital : Multicentric Interventional Study Qualitative and Quantitative,RAVVIH,False,False,True,OTHER
⬛,noir,pas de résultat postés ni publiés,NCT02951442,,,2014,Identification of Markers (Klotho-FGF23 Axis) as Determinant in the Evolution of Arterial Stiffness During the First Year of Renal Transplant,KLOTHO,False,False,False,BIOLOGICAL
⬛,noir,pas de résultat postés ni publiés,NCT02934295,,,2014,"Study of Rubella Immunity. Response to Vaccination of Subjects With Very Low, Equivocal or Undetectable Titers of Rubella Virus Antibodies",ImmRubVac,False,False,False,BIOLOGICAL
⬛,noir,pas de résultat postés ni publiés,NCT02986880,,,2014,"A Dose-response, Randomized, Double-blind Study to Evaluate the Effect of Type-A Botulinum Toxin in the Post-radiosurgical Neck Contractures",,False,False,False,PROCEDURE
⬛,noir,pas de résultat postés ni publiés,NCT01592162,,,2014,Dose-effect of Propofol for Anesthetic Induction: Double-blind Comparison of Different Propofol Formulations Administered Alone or With Remifentanil,PropofolRemi,False,False,False,DRUG
⬛,noir,pas de résultat postés ni publiés,NCT02040948,,,2014,Accuracy of Pulse Pressure Variation (Nexfin) and of Pleth Variability Index (Radical 7) to Predict the Response to a Fluid Challenge: Comparison With the Reference Method (Measurement of Stroke Volume by Esophageal Doppler),Nexfin2,False,False,False,DEVICE
⬛,noir,pas de résultat postés ni publiés,NCT01801137,,,2014,"A Multicentre Phase III Trial to Determine the Efficacy of RAD 001 (Everolimus, Afinitor) as Second Line Therapy in Patients With Transitional Cell Carcinoma TCC of the Urothelium Which Failed or Progressed After First Line Chemotherapy",AFINIVEST,False,False,False,DRUG
⬛,noir,pas de résultat postés ni publiés,NCT01154738,,,2015,Influence of Lidocaine on a Closed-Loop Anesthesia System,LoopLido,False,False,False,DRUG
🟥,rouge,résultat postés ou publiés,NCT01891838,,,2015,Transsphenoidal Surgery for Pituitary Adenomas: Influence of the Ventilation Mode on Intraoperative Bleeding,Vent-Hyp,False,False,True,PROCEDURE
⬛,noir,pas de résultat postés ni publiés,NCT02593344,,,2015,Peripheral Endothelial Function in Asthmatic Patients,Endothasthm,False,False,False,DEVICE
⬛,noir,pas de résultat postés ni publiés,NCT01597466,,,2015,A Comparison Study of Two Different Techniques for Identifying the Epidural Space in Patients Requiring Thoracic Epidural Analgesia: a Prospective Multicentric Randomized Study,Epidrum-Tho,False,False,False,PROCEDURE
🟥,rouge,résultat postés ou publiés,NCT01198639,,,2015,"One-year Mortality According to the Method of Total Intravenous Anesthesia. A Prospective, Randomized and Multicenter Study",ELA,False,False,True,DEVICE
🟧,orange,résultat postés ou publiés dans les 36 mois,NCT02245789,,,2015,Does the Use of a Videolaryngoscope Modifies Anesthetic Induction ?,MGM-PicRemi,False,True,True,PROCEDURE
⬛,noir,pas de résultat postés ni publiés,NCT02564185,,,2015,"Prospective, Randomized Study of the Impact of a Education Program for Patients Suffering From Low Back Pain",TENS,False,False,False,OTHER
⬛,noir,pas de résultat postés ni publiés,NCT01579851,,,2015,Recovery After Sugammadex(TIVA Using Propofol vs Inhalation Anesthesia Using Sevoflurane),Sugammadex2,False,False,False,DRUG
⬛,noir,pas de résultat postés ni publiés,NCT00886418,,,2015,"Effect of Continuous Myorelaxation on the Need for Hypnotic Agent During Surgical Procedures Which do Not Require it (Multicenter, Randomized and Prospective Study)",Drone-Curare,False,False,False,DRUG
⬛,noir,pas de résultat postés ni publiés,NCT02902471,,,2015,Functional Evaluation of Distal Airways by Forced Oscillations: Diagnosis Help in Bronchiolitis Obliterans Syndrome in Post Bone Marrow Transplantation,OSCILLOMOELL,False,False,False,OTHER
🟧,orange,résultat postés ou publiés dans les 36 mois,NCT02249364,,,2015,Interest of Hypnosis Before the Induction of Anesthesia. Study in Women Submitted to One Day Gynecological Surgical Procedures,Hypnose2,False,True,True,PROCEDURE
🟧,orange,résultat postés ou publiés dans les 36 mois,NCT01876290,,,2015,Should we Associate Dexamethasone and Ondansetron to Closed-loop Anesthesia to Reduce the Incidence of Postoperative Nausea and Vomiting After Bariatric Surgery?,Loop-NVPO,False,True,True,DRUG
⬛,noir,pas de résultat postés ni publiés,NCT01807975,,,2015,,OSCILLOPOUMON,False,False,False,OTHER
⬛,noir,pas de résultat postés ni publiés,NCT02905695,,,2016,Contribution of the Local Infiltration of Chirocaine® in the Management of the Post-partum Perineal Pain After Episiotomy or First-degree Tear,EPISIO,False,False,False,DRUG
⬛,noir,pas de résultat postés ni publiés,NCT02906436,,,2016,Pilot Study of Lung Transplantation After Ex-Vivo Lung Reconditioning,ExVivo,False,False,False,DEVICE
⬛,noir,pas de résultat postés ni publiés,NCT02899494,,,2016,"Effect of the ""Adjusted Vocal Expression"" Method on the Satisfaction of Parturients About Their Childbirth (NaîtreEnchanté)",NaitreEnchan,False,False,False,OTHER
⬛,noir,pas de résultat postés ni publiés,NCT02902627,,,2016,Pain in Oncolgy: Evaluation of a Non Invasive Monitoring Device (ANI). A Monocentric Prospective Study,ANIONCO,False,False,False,DEVICE
🟥,rouge,résultat postés ou publiés,NCT02834273,,,2016,"Impact of Patient Education Following a Stroke on Knowledge of Risk Factors, Stroke Warning Signs and What to do in Cases of Stroke",EPIC,False,False,True,BEHAVIORAL
🟥,rouge,résultat postés ou publiés,NCT01732133,,,2016,Evaluation of the System NEXFIN for Continuous and Non-invasive Measure of the Blood Pressure During Cesarean Delivery Practised Under Spinal Anesthesia,NEXFIN-CESAR,False,False,True,DEVICE
🟥,rouge,résultat postés ou publiés,NCT02290054,,,2016,Auriculotherapy for Prevention of Postoperative Urinary Retention in Men Receiving Postoperative Epidural Analgesia After Thoracic Surgery,RUPO,False,False,True,PROCEDURE
⬛,noir,pas de résultat postés ni publiés,NCT02778243,,,2016,,STERPROSER,False,False,False,BIOLOGICAL
