statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
⬛,4,4: pas de résultats postés ni publiés,NCT00217347,,,2006,,,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT00200616,,,2006,Antimicrobial Prophylaxis in Children With Isolated Vesico-Ureteral Reflux. A Randomised Prospective Study of Continuous Low Dose of Trimethoprim-Sulfamethoxazole Versus Surveillance.,,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00200642,,,2007,Evaluation of the Efficiency of Radiofrequency in the Treatment of Gastroesophageal Reflux Disease,,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT00337597,,,2007,Continuous Regional Analgesia After Total Knee Arthroplasty. Normal Saline or Dextrose 5% in Water as Fluid Medium for Pre-Placement Expansion in Order to Facilitate the Catheter Passing,,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT00200655,,,2007,Safety and Efficacy of Pravastatin in Relapsing-remitting MS: a Double Blind Placebo Controlled Study,,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00291538,,,2008,Comparison of Pharmacokinetics and Pharmacodynamics of Subcutaneous Versus Intravenous Administration of Bortezomib in Patients With Multiple Myeloma,,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00561938,,,2008,Confocal Laser Endomicroscopy in the Digestive Tract: A Multicentre French Pilot Study.,,PROCEDURE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00200681,,,2008,Etude Multicentrique Ouverte Randomisée de Phase III Comparant l'Association de VELCADE®-Dexaméthasone à la Chimiothérapie de Type VAD Pour le Traitement Des Patients Porteurs de Myélome Multiple de Novo Jusqu'à l'âge de 65 Ans,,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00290576,,,2008,Digestive and Nutritional Effects of Probiotics (Bifidobacterium Longum and Lactobacillus GG) Supplementation in Premature Newborns,,DIETARY_SUPPLEMENT
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00720031,,,2008,Treatment of Metastatic Melanoma With Autologous Melan-A/MART-1 Specific CTL Clones,,BIOLOGICAL
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00621400,,,2009,A Multicenter Phase I/II Dose Escalation Study of Lenalidomide in Combination With Melphalan and Dexamethasone in Subjects With Newly-diagnosed Light-chain (AL)-Amyloidosis,,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00200707,,,2009,Intracoronary Injection of Autologous Bone Marrow Mononuclear Cells for Severe Myocardial Infarction,,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00756080,,,2009,"""Effects of Oral Citrulline on Protein Metabolism in Healthy Humans: a Prospective, Randomized, Double-blind , Cross-over Study""",,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00707408,,,2009,A Phase II Trial Evaluating the Safety and the Efficacy of High-Dose Imatinib in Relapsed/Refractory c-Kit Positive and BCR-Abl Negative AML Patients,,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00436514,,,2009,Colonoscopy by Videocapsuls Versus Standard Colonoscopy. Intra-individual Comparison for the Subject With a Medium or High Risk of Colorectal Cancer.,,BEHAVIORAL
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00563303,,,2009,Interest of Treatment of Polytraumatisms With Corticoids (Hydrocortisone) for Patient With Relative Adrenocortical Insufficiency,Hypolyte,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00965289,,,2009,Front-line High-dose Chemotherapy (HDT) Combined With Rituximab for Adults With Aggressive Large B-cell Lymphoma (DLBCL) : Goelams 074 Trial.,,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00491062,,,2009,Analysis of Dopamine Neuronal Cell Loss Within the Enteric Nervous System in Parkinson's Disease,ENTEROPARK,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00385710,,,2010,Randomized Placebo-controlled Trial of Valproic Acid in Patients With Progressive Supranuclear Palsy,,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT01061255,,,2010,Physiological and Psychological Responses to Stress in Year 6 Medical Students Faced to Ambulatory Symptomatic Patients,,OTHER
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00200551,,,2010,"A Prospective, Randomized, Open, Multicentric Study Intended to Evaluate the Efficacy and Tolerability of Sequential Treatment Based on Rabbit Anti-T-lymphocyte Serum, of Mycophenolate Mofetil and of Cyclosporin, Without Concomitant Corticosteroids, After a First Cadaveric Renal Transplant",,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT01136317,,,2010,,Oberab,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00467506,,,2011,Phase II Two-step Radioimmunotherapy Clinical Study in Medullary Thyroid Carcinoma,RIT in MTC,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT01206673,,,2011,Evaluation of Macrophagic Activation and Immunophenotypic Profile of Patients With Gaucher's Disease.,Gaucher,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT01067937,,,2011,Multicenter Prospective Study for a Rational Management of Appendicitis in Children,ALGAP,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00851513,,,2011,,INFILTHERA,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT01497990,,,2011,Pharmacokinetics of Ertapenem When Used in Empiric Treatment in Burn Patients. Prospective Open Label Study.,,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00836732,,,2012,MESenchymal Stem Cells: Alterations in GEnome,MESSAGE,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00200577,,,2012,TIL (Tumor Infiltrating Lymphocytes) and IL2 (Interleukin 2) Versus Abstention as Adjuvant Treatment in Melanoma With Only One Invaded Lymphnode After Lymphnodes Excision,TIL,DRUG
🟧,2,2: résultats postés ou publiés entre 12 et 36 mois,NCT01093261,2010-019178-33,,2012,Phase 3 Study of Hydrocortisone and Fludrocortisone in Glucocorticoid Insufficiency Related to Traumatic Brain Injury,Corti-TC,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT01353183,,,2012,Analysis of the Enteric Nervous System Using Colonic Biopsies: a Useful Biomarker for the Differential Diagnosis of Parkinsonian Syndromes?,ColoBioParker,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT01331356,,,2012,Prospective Multicenter Pilot Study Evaluating the Analgesic Effect of an Injection of Botulinum Toxin Type A in the Ganglion Impar in Patients With Chronic Proctalgia According to the Criteria of Rome III,Impartox,DRUG
