statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
⬛,4,4: pas de résultats postés ni publiés,NCT02287844,,,2008,"Xylo-oligosaccharide (XOS) in Combination With Inulin Modulates Both the Intestinal Environment and Immune Status in Healthy Subjects, While XOS Alone Only Shows Prebiotic Properties",PIB,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT01480700,,,2013,Effect of Consumption of Eggs Rich in Xanthophyll Carotenoids and Omega-3 Fatty Acids on the Macular Pigment in Healthy People,ALGOVUE,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02353403,,,2014,Postprandial Glycaemic and Insulinaemic Responses After Consumption of Dairy Desserts Containing Fructo-oligosaccharides in Adults.,GLYCOFOS-cream,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02352857,,,2014,Postprandial Glycaemic and Insulinaemic Responses After Consumption of Minicakes Containing FOS in Adults,GLYCOFOS-cake,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT03203135,,,2018,Assesment of the Impact of a Nutritional Prevention Programme for Employees in Staggered Hours.,PREV'HODE,BEHAVIORAL
⬛,4,4: pas de résultats postés ni publiés,NCT02997826,,,2018,Effect of Infant Formula Consumption on Infant Growth From 0 to 6 Months,BABYMILK,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT03872297,,,2019,Effect of a Fish Collagen Peptide Food Supplement on the Weight and Body Composition of Healthy Volunteers in Overweight,NATICOL,DIETARY_SUPPLEMENT
⬛,4,4: pas de résultats postés ni publiés,NCT05306106,,,2021,Determination of the Glycemic Index of Pastry. A Randomized Study on Healthy Volunteers.,IG-DESSERT,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT04468880,,,2021,"Effect of Milk Consumption, Containing A2 β-caseins Only, on Digestive Comfort. A Randomized and Double-blind Study",A2-DIGEST,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT03936257,,,2021,Evaluation of an Innovative BIO Formula Based on a New Whey Extraction Process on the Growth and Tolerance of Infants From 0 to 6 Months.,TRUEGREEN,OTHER
⬛,4,4: pas de résultats postés ni publiés,,2021-000045-41,,2022,"Adaptive, Ambulatory, Randomised, Placebo-Controlled, Double-Blind, Phase 2/3 Study to Evaluate the Safety, Tolerability, and Efficacy of TEE001DP in Patients at the Early Stage of Symptomatic COVID-19",THERAPIDE,
⬛,4,4: pas de résultats postés ni publiés,NCT05306093,,,2022,Chronic Effect of a Standardized Saffron Extract on Depressed Mood and Anhedonia in Healthy Adults. A Randomized Controlled Double-blind Clinical Trial.,MOOD5,DIETARY_SUPPLEMENT
⬛,4,4: pas de résultats postés ni publiés,NCT05178667,,,2022,"Effect of Carrot Seed and Rose Hip Extracts on Weight Management in Subjects With Overweight or Moderate Obesity. A Controlled, Randomized and Double-blind Study.",PHYTOENIX,DIETARY_SUPPLEMENT
⬛,4,4: pas de résultats postés ni publiés,NCT05221346,,,2022,"Effect of Oleactiv® on LDL Oxidability in Volunteers With Moderate Hypercholesterolemia - a Controlled, Randomized, Double-blind Study",e-POL,DIETARY_SUPPLEMENT
⬛,4,4: pas de résultats postés ni publiés,NCT04532892,,,2022,"Efficacy and Tolerance of a Specialized Nutraceutical for Pre-burnout - a Randomized, Double Blind Placebo Controlled Study",WELBI,DIETARY_SUPPLEMENT
⬛,4,4: pas de résultats postés ni publiés,NCT06432010,,,2023,Effect of a Health Check-up Followed by a Collective Coaching on the Quality of Life and Behavioral Change of Retired Persons. A Prospective Study Conducted in Ambulatory.,R-FORM',OTHER
