statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00151606,,,2004,Evaluation of Two Protocols to Prevent the Acquisition of Methicillin-Resistant Staphylococcus Aureus in Intensive Care Units.,,PROCEDURE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00134212,,,2004,"Prospective, Randomized Study on Two Parallel Groups Comparing Dopexamine and Norepinephrine in Combination to Epinephrine Alone on Systemic and Pulmonary Hemodynamics, Gastric Mucosal Perfusion, and Oxidative Stress in Septic Shock",,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00151593,,,2006,Celsior®: Evaluation of an Organ Preservation Solution in Liver Transplantation.,,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT00219856,,,2006,"Prospective, Randomized, Simple Blind Study Comparing the Effects of an Anaesthesia With Propofol to an Anaesthesia With Desflurane on Oxydative Stress and Liver Function Recovery After Hepatectomy",,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00138684,,,2006,Cytochrome P450 2E1 and Iron Overload,,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00151580,,,2006,"Comparison of Maintenance Treatment by Ribavirin to a Placebo, After an Initial One-year Treatment With Pegylated Interferon-α2a - Ribavirin Association in Hepatitis C Viral Recurrence After Liver Transplantation",TRANSPEG,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00151567,,,2006,Interest of a Treatment With the alpha1-blocker Tamsulosin in the Elimination of Pelvis Ureteral Stones,TAMSULOSINE,DRUG
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00280592,,,2008,"Prospective, Randomized, Double-blind, Placebo-controlled Study on Parallel Groups Evaluating the Efficacy and Safety of Cranberry (Vaccinium Macrocarpon) in Prevention of Urinary Tract Infections in Multiple Sclerosis Patients.",CANNEBERGE,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT00305916,,,2008,"Accuracy of Multislice Spiral Computed Tomography in Diagnosis of Coronary Artery Disease Associated to Idiopathic Cardiomyopathy in Sinus Rhythm (""MSCT-IC Study"").",CMD-scanner,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00598026,,,2011,"Evaluation of the "" Tele-follow-up "" for the Follow-up of Implantable Defibrillators",EVATEL,OTHER
