statut_color,statut,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,intervention_type
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00569361,,,2005,Nasal Epithelium Gene Expression Profiling in Child Respiratory Allergic,,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00522184,,,2006,Intra-Articular Injection of Etanercept in Patient Suffering From Rheumatoid Arthritis : a Double-Blind Randomized Study for Evaluation of Efficacy and Safety of Etanercept Versus Intra-Articular Steroid Injection in Acute Synovitis,,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00676351,,,2007,Follow up of Ventilatory Function in Infant After One (or More) Bronchiolitis During the First Year of Life. Course Towards Asthma,,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00820144,,,2007,Functional Exploration of the Immune Response Using the B-Subunit of Cholera Toxin Administered by Mucosal Way in Healthy Adult Volunteer: Potential Role in Development of Vaccine Processes,,BIOLOGICAL
⬛,4,4: pas de résultats postés ni publiés,NCT00674869,,,2008,Effectiveness of Pit and Fissure Sealants in the Prevention of Dental Caries,,OTHER
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00821548,,,2008,,,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00831402,,,2008,Assessment of Thyroid Function Throughout Pregnancy With and Without Iodine Supplementation,,DIETARY_SUPPLEMENT
⬛,4,4: pas de résultats postés ni publiés,NCT00822250,,,2009,Clinical and Biological Study of Sub-pigmentation During Infantile Cystinosis,,OTHER
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00823485,,,2009,Clinical Efficacy of In-situ Thrombolysis in Case of Intraventricular Haemorraghia by Aneurysm Rupture,,PROCEDURE
🟥,3,3: résultats postés ou publiés après les 36 mois,NCT00931567,,,2010,Evaluation of the Efficiency of Autologous Platelet Gel (Platelet Rich Fibrin) Obtained From Own Patients' Blood Versus Vaselitulle in Dupuytren's Disease Postoperative Wound Healing,,BIOLOGICAL
⬛,4,4: pas de résultats postés ni publiés,NCT01049659,,,2011,Effect of Iodine Supplementation and During Pregnancy on Neuropsychological Development of Children Assessed at 2 Years Old,,BEHAVIORAL
⬛,4,4: pas de résultats postés ni publiés,NCT00833274,,,2011,Evaluation of Apathy Using Attentional Reaction Test in Neurodegenerative Diseases,,BEHAVIORAL
⬛,4,4: pas de résultats postés ni publiés,NCT00559520,,,2011,The Role of Preoperative Oral Immunonutrition in Major Vascular Surgery,,DIETARY_SUPPLEMENT
⬛,4,4: pas de résultats postés ni publiés,NCT01221337,,,2011,"Comparative Study of Two Haemodialyzers ""VIE 2.1"" Versus ""EVODIAL2.2"" in a Strategy of Heparin-free Haemodialysis (HFH)",,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT00830583,,,2011,Pompe Prevalence Study in Patients With Muscle Weakness Without Diagnosis,POPS,PROCEDURE
⬛,4,4: pas de résultats postés ni publiés,NCT00831298,,,2011,Assessment of Sleep Disturbance in Alzheimer Disease,,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT00822224,,,2011,Use of MEOPA for Elderly With Dementia.,,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT01087216,,,2011,,,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT01235806,,,2012,Contribution of ESAOTE™ Low Field MRI for Diagnosis of Scaphoid Fractures.,,RADIATION
⬛,4,4: pas de résultats postés ni publiés,NCT00733538,,,2012,Stage I Multiple Myeloma Treatment,IFM-01-04,DRUG
⬛,4,4: pas de résultats postés ni publiés,NCT01511965,,,2012,,Viticell,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT01384344,,,2012,Ecological Assessment of Apathy in Alzheimer's Disease and in Control Subjects: Interest on Video Recognition and Actigraphy,,OTHER
⬛,4,4: pas de résultats postés ni publiés,NCT02862340,,,2012,Study of the Involvement of 15q11 - q13 Chromosome Region and CYFIP1 Gene in Autism. Attempt a Genotype-phenotype Correlation,,GENETIC
⬛,4,4: pas de résultats postés ni publiés,NCT01184222,,,2012,EFFICACY EVALUATION OF GREAT OCCIPITAL NERVE ELECTRICAL STIMULATION ON REBOUND HEADACHE AFTER WITHDRAWAL IN MEDICATION OVERUSE HEADACHE OCCURING IN MIGRAINE PATIENTS (SENGO-CAM Study),,DEVICE
⬛,4,4: pas de résultats postés ni publiés,NCT00876096,,,2012,Development and Validation of Fungal Extraction and Real -Time PCR Assay for the Diagnosis of Medically Important Fungal Infections in Blood Samples.,,OTHER
