ror,nb,sponsor_normalized
00pg5jh14,2136,Assistance Publique – Hôpitaux de Paris
01502ca60,925,Hospices Civils de Lyon
00mthsf17,539,Centre Hospitalier Universitaire de Montpellier
017h5q109,534,Centre hospitalier universitaire de Toulouse
002cp4060,503,Assistance publique - Hôpitaux de Marseille
02tcf7a68,502,Centre hospitalier universitaire de Clermont-Ferrand
01hq89f96,502,Centre hospitalier universitaire de Bordeaux
05c1qsg97,437,Centre hospitalier universitaire de Nantes
041rhpw39,436,Centre hospitalier universitaire Grenoble-Alpes
05qsjq305,408,Centre hospitalier universitaire de Nice
010567a58,326,Centre hospitalier universitaire d'Amiens - Picardie
04bckew43,326,Hôpitaux universitaires de Strasbourg
04pn6vp43,317,Centre hospitalier universitaire de Saint-Étienne
02ppyfa04,283,Centre hospitalier régional universitaire de Lille
0321g0743,275,Institut Gustave-Roussy
05qec5a53,269,Centre hospitalier universitaire de Rennes
027arzy69,269,Centre hospitalier universitaire de Caen
0275ye937,257,Centre hospitalier universitaire de Nîmes
0084te143,247,Centre hospitalier régional universitaire de Besançon
0250ngj72,238,Centre hospitalier universitaire d'Angers
00cxy0s05,237,Centre hospitalier universitaire de Rouen
0377z4z10,236,Centre hospitalier universitaire de Dijon
016ncsr12,219,Centre hospitalier régional et universitaire de Nancy
029s6hd13,203,Centre hospitalier universitaire de Poitiers
03evbwn87,202,Centre hospitalier universitaire de Brest
02vjkv261,187,Institut national de la santé et de la recherche médicale
058td2q88,183,Hôpital Foch
01cmnjq37,177,Centre Léon-Bérard
01kv58h76,163,ANRS Maladies infectieuses émergentes
00jpq0w62,158,Centre hospitalier universitaire de Tours
01tc2d264,156,Centre hospitalier universitaire de Limoges
01jbb3w63,141,Centre hospitalier universitaire de Reims
04t0gwh46,126,Institut Curie
0219xsk19,113,Hôpital Saint-Joseph de Marseille
04s3t1g37,99,Institut Paoli-Calmettes
04c3yce28,80,Centre hospitalier Le Vinatier
04yvax419,80,Centre hospitalier régional d'Orléans
05epqd940,64,Centre hospitalier départemental Vendée de La Roche-sur-Yon
004dan487,54,Centre Hospitalier Universitaire de la Réunion
02kxjxy06,52,Centre hospitalier Sainte-Anne - GHU Paris
04n1nkp35,50,Hôpital intercommunal de Créteil
03wr2ty35,50,Groupement des hôpitaux de l'institut catholique de Lille
053evvt91,44,Centre Hospitalier de Versailles
0495fxg12,37,Institut Pasteur
047wq3n50,31,Clinique Ambroise Paré
02mh9a093,29,Hôpital de la Salpêtrière
003vg9w96,29,"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement"
0376kfa34,28,Centre hospitalier universitaire de Martinique
02d741577,28,Centre Hospitalier Régional Metz-Thionville
04wqvjr21,26,Centre Hospitalier Intercommunal de Toulon La Seyne sur Mer
0103yxp25,24,Service de santé des armées
03bf2nz41,21,Centre Hospitalier le Mans
03ytpa045,19,Centre Hospitalier Henri Laborit
05k9skc85,19,Institut Pasteur de Lille
029brtt94,16,Université Claude-Bernard-Lyon-1
054jcxz87,15,Groupe Hospitalier Région Mulhouse et Sud Alsace
03mkjjy25,14,Université de Versailles-Saint-Quentin-en-Yvelines
01tfhsg94,14,Hôpital Européen Marseille
03deam493,13,Centre hospitalier Annecy Genevois
05f82e368,12,Université Paris-Cité
02k9jrs03,12,University Children’s Hospital Bern
04q33ey84,11,Centre hospitalier spécialisé Charles-Perrens
